Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1842(dump_chk)
      864    0.005    0.000    0.008    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:523(_parse_einsum_input)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/chkfile.py:28(dump_scf)
        2    0.008    0.004    0.008    0.004 {method 'read' of '_io.TextIOWrapper' objects}
      583    0.005    0.000    0.008    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1025(_compute_lwork)
     1442    0.003    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numerictypes.py:357(issubdtype)
    37152    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
       10    0.000    0.000    0.007    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:76(dump)
     1154    0.003    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
        2    0.000    0.000    0.007    0.003 /usr/lib/python3.12/re/__init__.py:199(split)
        2    0.007    0.003    0.007    0.003 {method 'split' of 're.Pattern' objects}
      577    0.001    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
      912    0.001    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
      624    0.001    0.000    0.005    0.000 {method 'all' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:971(get_veff)
      288    0.005    0.000    0.005    0.000 {built-in method scipy.linalg._matfuncs_expm.pick_pade_structure}
       11    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:952(get_jk)
     3800    0.004    0.000    0.005    0.000 {built-in method builtins.min}
    14688    0.005    0.000    0.005    0.000 {built-in method builtins.max}
        4    0.005    0.001    0.005    0.001 {built-in method _io.open}
       11    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:885(dot_eri_dm)
       11    0.001    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/_vhf.py:318(incore)
     9794    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     3544    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
