Wed Jan  7 14:08:20 2026    branch/profil/profiling_results.prof

         1450306 function calls (1450256 primitive calls) in 16.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     21/7    0.000    0.000    0.006    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:89(get_err_vec_orth)
       57    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:831(dot)
       15    0.000    0.000    0.005    0.000 {built-in method _functools.reduce}
       57    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:741(ddot)
       57    0.005    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:896(_dgemm)
     3204    0.002    0.000    0.005    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.005    0.005 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/addons.py:580(project_mo_nr2nr)
     4272    0.002    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:21(_flop_count)
      227    0.001    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:410(_asarray_validated)
    14952    0.004    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:59(_compute_size_by_dict)
     6594    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
