Wed Jan  7 21:12:38 2026    branch/profil/profiling_results_opt_A.prof

         1980528 function calls (1980478 primitive calls) in 38.232 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12384    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
       27    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp.py:284(eigh)
       19    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:221(make_fid)
      692    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/numerictypes.py:293(issubclass_)
     1041    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     3161    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       19    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:647(__exit__)
      738    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:202(update)
       38    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:622(close)
     9288    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:434(<genexpr>)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/addons.py:580(project_mo_nr2nr)
      359    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:182(_makearray)
     2207    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1089    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1041    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:179(save_mol)
       11    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:256(pack_tril)
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:244(extrapolate)
     6605    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     1041    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        3    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    10320    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:424(<lambda>)
     2789    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      354    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:1383(__array_wrap__)
     1109    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      354    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     5505    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:391(where)
      761    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
     2162    0.001    0.000    0.001    0.000 {method 'conj' of 'numpy.ndarray' objects}
     1577    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      351    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:256(_assert_stacked_square)
      737    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/ma/core.py:6686(isMaskedArray)
      360    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:201(_realType)
        2    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1826(get_hcore)
        2    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:315(get_hcore)
       19    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/base.py:31(is_hdf5)
        2    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:603(getints4c)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:2717(make_env)
