Fri Jan  9 11:23:00 2026    branch/profil/profiling_results_opt_B.prof

         1566812 function calls (1566762 primitive calls) in 36.840 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1763(build)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1754(check_sanity)
     4896    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:898(<genexpr>)
       27    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp.py:284(eigh)
     1090    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:202(update)
      594    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       19    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:221(make_fid)
       19    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:647(__exit__)
     2513    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       38    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:622(close)
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:244(extrapolate)
      873    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:179(save_mol)
        3    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      548    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numerictypes.py:283(issubclass_)
      594    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2213    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     8160    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:395(<lambda>)
     1775    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      287    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:135(_makearray)
      544    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      282    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     4353    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/multiarray.py:346(where)
      544    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/addons.py:580(project_mo_nr2nr)
      617    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
     2180    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
      282    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:1331(__array_wrap__)
      593    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/ma/core.py:6485(isMaskedArray)
     1289    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      893    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1730    0.001    0.000    0.001    0.000 {method 'conj' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:603(getints4c)
      279    0.000    0.000    0.000    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:209(_assert_stacked_square)
