         199956 function calls (199900 primitive calls) in 0.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      357    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      210    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       36    0.000    0.000    0.000    0.000 shape_base.py:215(_vhstack_dispatcher)
       30    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlsym}
       16    0.000    0.000    0.000    0.000 _methods.py:47(_sum)
      183    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       36    0.000    0.000    0.000    0.000 {method 'conjugate' of 'numpy.generic' objects}
      130    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 getlimits.py:709(max)
       42    0.000    0.000    0.000    0.000 <frozen os>:812(fsencode)
        3    0.000    0.000    0.000    0.000 mole.py:972(make_atm_env)
       17    0.000    0.000    0.000    0.000 elements.py:1136(charge)
       15    0.000    0.000    0.000    0.000 moleintor.py:273(_get_intor_and_comp)
        1    0.000    0.000    0.000    0.000 uhf.py:806(dump_flags)
       22    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        2    0.000    0.000    0.000    0.000 misc.py:677(check_sanity)
      150    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 index_tricks.py:992(diag_indices_from)
        1    0.000    0.000    0.000    0.000 ump2.py:514(_common_init_)
        1    0.000    0.000    0.000    0.000 mole.py:814(conc_env)
      155    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      126    0.000    0.000    0.000    0.000 getlimits.py:696(min)
      331    0.000    0.000    0.000    0.000 base.py:306(id)
        8    0.000    0.000    0.000    0.000 atom_hf.py:196(frac_occ)
      294    0.000    0.000    0.000    0.000 stride_tricks.py:363(_broadcast_to_dispatcher)
       36    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
      572    0.000    0.000    0.000    0.000 ovos_start_over.py:265(<lambda>)
       50    0.000    0.000    0.000    0.000 linalg.py:209(_assert_stacked_square)
       51    0.000    0.000    0.000    0.000 linalg.py:130(get_linalg_error_extobj)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       41    0.000    0.000    0.000    0.000 base.py:41(find_item_type)
       26    0.000    0.000    0.000    0.000 {built-in method time.process_time}
       20    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 moleintor.py:847(__del__)
       15    0.000    0.000    0.000    0.000 numpy_helper.py:1085(sign_and_symbs)
       22    0.000    0.000    0.000    0.000 <frozen posixpath>:405(normpath)
        3    0.000    0.000    0.000    0.000 ump2.py:171(get_nocc)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        4    0.000    0.000    0.000    0.000 shape_base.py:219(vstack)
        2    0.000    0.000    0.000    0.000 misc.py:281(flatten)
        8    0.000    0.000    0.000    0.000 diis.py:141(push_err_vec)
